Ex-Dividend Date,Dividend,Payment Date,Yield
29-Dec-23,0.26,12-Jan-24,5.25%
30-Nov-23,0.26,15-Dec-23,5.72%
31-Oct-23,0.26,15-Nov-23,6.65%
29-Sep-23,0.26,13-Oct-23,6.19%
1-Apr-25,0.27,15-Apr-25,5.79%
3-Mar-25,0.27,14-Mar-25,5.64%
3-Feb-25,0.26,14-Feb-25,5.80%
2-Jan-25,0.26,15-Jan-25,5.93%
2-Dec-24,0.26,13-Dec-24,5.46%
1-Nov-24,0.26,15-Nov-24,5.33%
1-Oct-24,0.26,15-Oct-24,4.99%
3-Sep-24,0.26,13-Sep-24,5.08%
1-Aug-24,0.26,15-Aug-24,5.50%
1-Jul-24,0.26,15-Jul-24,5.98%
3-Jun-24,0.26,14-Jun-24,5.94%
30-Apr-24,0.26,15-May-24,5.68%
28-Mar-24,0.26,15-Apr-24,5.74%
29-Feb-24,0.26,15-Mar-24,5.92%
31-Jan-24,0.26,15-Feb-24,5.58%
31-Aug-23,0.26,15-Sep-23,5.42%
29-Jul-22,0.25,15-Aug-22,4.04%
30-Jun-22,0.25,15-Jul-22,4.28%
31-May-22,0.25,15-Jun-22,4.27%
29-Apr-22,0.25,13-May-22,4.08%
31-Mar-22,0.25,15-Apr-22,4.22%
28-Feb-22,0.25,15-Mar-22,4.39%
31-Jan-22,0.25,15-Feb-22,4.26%
31-Dec-21,0.25,14-Jan-22,4.11%
30-Nov-21,0.25,15-Dec-21,4.23%
15-Nov-21,2.3,12-Nov-21,10.87%
1-Nov-21,0.24,15-Nov-21,3.96%
30-Sep-21,0.24,15-Oct-21,4.29%
31-Aug-21,0.24,15-Sep-21,3.92%
30-Jul-21,0.24,13-Aug-21,4.02%
30-Jun-21,0.24,15-Jul-21,4.16%
28-May-21,0.24,15-Jun-21,4.13%
30-Apr-21,0.24,14-May-21,4.07%
31-Mar-21,0.24,15-Apr-21,4.40%
26-Feb-21,0.23,15-Mar-21,4.57%
29-Jan-21,0.23,16-Feb-21,4.62%
31-Dec-20,0.23,15-Jan-21,4.59%
30-Nov-20,0.23,15-Dec-20,4.56%
30-Oct-20,0.23,13-Nov-20,4.80%
30-Sep-20,0.23,15-Oct-20,4.60%
31-Dec-19,0.23,15-Jan-20,3.73%
