"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2025","56.02","56.67","60.38","55.52","108.44M","-1.77%"
"02/01/2025","57.03","53.90","57.56","53.30","95.72M","4.37%"
"01/01/2025","54.64","53.26","56.15","51.60","97.72M","2.30%"
"12/01/2024","53.41","57.57","57.67","51.74","117.15M","-7.74%"
"11/01/2024","57.89","59.41","60.05","55.88","99.19M","-2.49%"
"10/01/2024","59.37","63.33","64.88","59.32","97.46M","-6.39%"
"09/01/2024","63.42","61.63","63.49","60.42","95.69M","2.11%"
"08/01/2024","62.11","57.64","62.41","56.88","114.84M","8.15%"
"07/01/2024","57.43","52.36","58.57","51.81","95.74M","8.73%"
"06/01/2024","52.82","53.17","54.65","51.87","101.01M","-0.45%"
"05/01/2024","53.06","53.37","55.75","50.96","125.35M","-0.90%"
"04/01/2024","53.54","54.01","54.54","50.65","123.53M","-1.04%"
"03/01/2024","54.10","52.00","54.20","50.90","127.76M","3.82%"
"02/01/2024","52.11","54.49","55.25","51.15","126.36M","-4.19%"
"01/01/2024","54.39","57.11","59.83","54.11","190.27M","-5.28%"
"12/01/2023","57.42","53.85","58.61","53.56","150.78M","6.41%"
"11/01/2023","53.96","47.66","54.50","47.22","131.67M","13.89%"
"10/01/2023","47.38","49.82","51.29","45.03","148.01M","-5.13%"
"09/01/2023","49.94","56.30","56.59","49.38","117.53M","-10.89%"
"08/01/2023","56.04","61.01","61.29","55.81","127.26M","-8.09%"
"07/01/2023","60.97","59.75","64.18","59.17","89.66M","1.97%"
"06/01/2023","59.79","59.46","62.12","58.75","105.60M","0.59%"
"05/01/2023","59.44","62.60","63.55","58.13","72.96M","-5.41%"
"04/01/2023","62.84","62.95","63.40","60.49","69.94M","-0.76%"
"03/01/2023","63.32","63.84","64.89","59.07","94.15M","-0.99%"
"02/01/2023","63.95","67.62","68.85","63.91","59.39M","-5.72%"
"01/01/2023","67.83","63.86","68.68","62.85","68.22M","6.94%"
"12/01/2022","63.43","63.41","66.44","61.75","89.89M","0.57%"
"11/01/2022","63.07","62.50","65.88","59.94","80.81M","1.28%"
"10/01/2022","62.27","58.85","62.46","55.50","84.34M","6.99%"
"09/01/2022","58.20","67.97","68.90","57.61","110.05M","-14.76%"
"08/01/2022","68.28","73.62","75.11","68.06","76.84M","-7.72%"
"07/01/2022","73.99","68.18","74.18","66.86","57.74M","8.39%"
"06/01/2022","68.26","68.23","70.68","62.28","94.29M","0.06%"
"05/01/2022","68.22","69.58","69.87","62.74","93.97M","-1.64%"
"04/01/2022","69.36","69.36","75.40","69.23","63.90M","0.09%"
"03/01/2022","69.30","66.26","70.89","64.13","97.06M","4.86%"
"02/01/2022","66.09","69.03","70.02","63.90","71.07M","-4.78%"
"01/01/2022","69.41","71.73","72.54","65.74","74.29M","-3.05%"
"12/01/2021","71.59","68.45","72.21","65.65","98.25M","5.40%"
"11/01/2021","67.92","68.76","72.16","67.19","93.02M","-1.81%"
"10/01/2021","69.17","63.19","72.24","62.93","124.65M","10.13%"
"09/01/2021","62.81","70.03","70.45","62.81","89.94M","-10.19%"
"08/01/2021","69.94","68.35","70.43","67.46","61.23M","2.75%"
"07/01/2021","68.07","63.68","69.19","63.67","67.18M","5.32%"
"06/01/2021","64.63","66.55","69.05","64.52","82.65M","-2.43%"
"05/01/2021","66.24","67.06","67.65","62.46","70.62M","-1.08%"
"04/01/2021","66.96","61.91","69.57","61.63","56.60M","8.90%"
"03/01/2021","61.49","59.24","62.56","56.43","76.70M","5.38%"
"02/01/2021","58.35","57.57","61.77","56.98","50.06M","2.03%"
"01/01/2021","57.19","60.21","60.29","55.20","71.35M","-5.00%"
"12/01/2020","60.20","58.61","60.28","56.86","56.07M","3.67%"
"11/01/2020","58.07","56.54","63.03","55.86","60.33M","3.65%"
"10/01/2020","56.03","58.92","62.57","55.28","44.23M","-4.76%"
"09/01/2020","58.83","59.37","64.69","56.51","50.88M","-2.06%"
"08/01/2020","60.07","57.61","61.86","57.02","40.08M","3.30%"
"07/01/2020","58.15","57.86","60.58","54.54","40.53M","0.92%"
"06/01/2020","57.62","53.75","63.49","53.43","78.26M","7.58%"
"05/01/2020","53.56","51.18","55.67","46.17","69.97M","0.71%"
"04/01/2020","53.18","45.63","58.81","42.04","73.93M","10.15%"
"03/01/2020","48.28","70.68","75.85","36.80","107.28M","-31.12%"
"02/01/2020","70.10","75.97","82.23","67.19","54.24M","-7.68%"
"01/01/2020","75.93","71.51","76.64","69.66","43.32M","6.49%"
"12/01/2019","71.30","73.98","74.17","69.19","41.48M","-3.91%"
"11/01/2019","74.21","79.12","79.37","73.24","39.99M","-6.31%"
"10/01/2019","79.20","74.21","79.57","73.30","34.87M","6.66%"
"09/01/2019","74.26","71.42","75.06","70.10","35.09M","3.89%"
"08/01/2019","71.48","67.07","71.82","66.11","30.07M","6.65%"
"07/01/2019","67.02","66.94","69.18","65.56","32.69M","0.35%"
"06/01/2019","66.79","68.11","71.63","66.14","38.44M","-1.58%"
"05/01/2019","67.86","67.74","69.58","64.12","57.12M","0.10%"
"04/01/2019","67.80","71.19","71.20","65.09","32.70M","-4.83%"
"03/01/2019","71.23","66.92","71.80","66.02","40.12M","6.36%"
"02/01/2019","66.97","66.61","68.25","64.86","36.68M","0.68%"
"01/01/2019","66.52","60.63","66.73","59.64","46.27M","8.96%"
"12/01/2018","61.05","61.99","64.79","58.04","50.08M","-1.64%"
"11/01/2018","62.06","58.36","62.52","57.49","43.25M","6.34%"
"10/01/2018","58.36","54.81","60.03","53.79","65.34M","5.94%"
"09/01/2018","55.09","56.69","57.13","54.02","34.60M","-2.87%"
"08/01/2018","56.72","53.58","57.37","53.27","29.52M","5.02%"
"07/01/2018","54.01","52.05","54.41","51.07","36.03M","3.68%"
"06/01/2018","52.09","51.72","53.25","50.71","45.33M","0.92%"
"05/01/2018","51.61","48.90","52.31","48.66","38.43M","5.52%"
"04/01/2018","48.91","49.99","51.50","47.26","33.10M","-2.36%"
"03/01/2018","50.09","47.62","50.49","47.30","38.92M","5.19%"
"02/01/2018","47.62","51.41","51.53","45.76","63.15M","-7.54%"
"01/01/2018","51.51","55.22","55.26","50.56","41.18M","-6.72%"
"12/01/2017","55.22","53.72","56.39","52.68","37.90M","3.11%"
"11/01/2017","53.55","52.06","55.42","51.70","29.30M","3.04%"
"10/01/2017","51.97","55.38","55.61","51.33","37.36M","-6.15%"
"09/01/2017","55.38","55.70","58.15","54.96","34.86M","-0.64%"
"08/01/2017","55.74","55.37","56.60","54.46","32.25M","0.88%"
"07/01/2017","55.26","53.63","56.62","51.65","28.87M","3.41%"
"06/01/2017","53.44","53.17","55.48","52.54","40.37M","0.46%"
"05/01/2017","53.19","56.65","57.51","51.18","46.67M","-5.86%"
"04/01/2017","56.51","57.42","60.34","56.45","27.36M","-1.98%"
"03/01/2017","57.65","59.13","59.33","55.15","48.80M","-2.86%"
"02/01/2017","59.34","57.55","61.59","56.21","39.48M","2.77%"
"01/01/2017","57.74","55.91","58.67","55.11","37.77M","3.74%"
"12/01/2016","55.66","53.27","55.98","51.62","39.80M","3.68%"
"11/01/2016","53.69","57.20","57.27","51.05","43.35M","-6.41%"
"10/01/2016","57.37","64.57","64.64","55.28","31.38M","-11.49%"
"09/01/2016","64.81","63.53","66.95","61.33","32.75M","1.83%"
"08/01/2016","63.65","69.23","70.01","62.90","31.77M","-8.03%"
"07/01/2016","69.21","67.30","69.68","66.09","35.25M","3.04%"
"06/01/2016","67.17","58.04","67.17","58.03","40.08M","15.43%"
"05/01/2016","58.19","57.51","62.51","56.46","45.52M","1.50%"
"04/01/2016","57.33","60.21","61.90","56.59","34.76M","-5.30%"
"03/01/2016","60.53","57.06","60.90","55.66","38.62M","6.78%"
"02/01/2016","56.69","53.80","59.40","53.09","60.61M","4.93%"
"01/01/2016","54.03","49.52","54.11","48.87","47.04M","8.06%"
"12/01/2015","50.00","48.41","50.75","46.84","44.58M","4.05%"
"11/01/2015","48.05","47.84","49.00","44.53","44.68M","0.32%"
"10/01/2015","47.90","46.11","49.37","44.21","59.15M","4.37%"
"09/01/2015","45.89","42.89","46.78","41.79","37.89M","6.04%"
"08/01/2015","43.28","46.75","47.33","43.04","38.22M","-7.45%"
"07/01/2015","46.76","43.06","46.93","42.80","35.60M","8.79%"
"06/01/2015","42.99","44.26","45.56","42.83","42.00M","-2.59%"
"05/01/2015","44.13","45.40","46.59","44.03","34.06M","-2.98%"
"04/01/2015","45.48","49.99","50.99","44.83","77.42M","-8.97%"
"03/01/2015","49.97","48.63","52.37","46.72","37.94M","3.08%"
"02/01/2015","48.48","52.49","52.55","47.71","43.05M","-7.83%"
"01/01/2015","52.59","46.46","53.78","46.43","59.92M","13.83%"
"12/01/2014","46.20","44.99","48.11","43.49","38.55M","2.69%"
"11/01/2014","44.99","44.69","46.37","44.03","31.42M","0.93%"
"10/01/2014","44.57","39.50","45.28","39.42","54.25M","12.85%"
"09/01/2014","39.50","43.28","43.93","39.28","40.59M","-8.79%"
"08/01/2014","43.31","41.62","44.19","41.39","25.18M","3.88%"
"07/01/2014","41.69","43.08","44.39","41.66","34.64M","-3.08%"
"06/01/2014","43.02","41.92","43.56","41.62","35.18M","2.59%"
"05/01/2014","41.93","42.23","43.07","41.19","40.38M","-0.35%"
"04/01/2014","42.08","39.63","42.32","38.94","45.39M","6.34%"
"03/01/2014","39.57","42.88","43.17","38.37","63.84M","-8.01%"
"02/01/2014","43.02","39.51","43.68","38.02","42.24M","8.93%"
"01/01/2014","39.49","36.20","39.70","35.83","39.23M","9.24%"
"12/01/2013","36.15","36.90","38.62","35.42","48.87M","-2.05%"
"11/01/2013","36.90","40.39","40.81","36.67","41.52M","-8.50%"
"10/01/2013","40.33","38.58","41.84","37.86","54.69M","4.78%"
"09/01/2013","38.49","38.73","40.22","37.18","39.80M","0.63%"
"08/01/2013","38.25","42.43","42.63","37.97","37.27M","-9.01%"
"07/01/2013","42.04","40.80","44.59","40.34","43.68M","3.55%"
"06/01/2013","40.59","43.95","44.44","38.57","55.06M","-7.77%"
"05/01/2013","44.01","49.27","53.73","44.01","40.01M","-10.83%"
"04/01/2013","49.36","43.87","49.36","43.48","32.33M","12.39%"
"03/01/2013","43.92","44.05","45.17","42.28","52.61M","-0.66%"
"02/01/2013","44.21","42.35","44.41","41.81","24.45M","4.51%"
"01/01/2013","42.30","39.56","42.95","39.19","46.55M","8.63%"
"12/01/2012","38.94","39.29","39.79","38.74","15.65M","-1.16%"
"11/01/2012","39.39","37.92","39.39","36.15","22.21M","3.59%"
"10/01/2012","38.03","39.77","40.38","37.58","16.76M","-3.96%"
"09/01/2012","39.60","40.72","42.82","39.07","27.13M","-2.94%"
"08/01/2012","40.80","40.10","41.60","38.99","21.06M","2.26%"
"07/01/2012","39.90","40.55","41.25","39.21","13.66M","-1.36%"
"06/01/2012","40.45","36.63","40.57","36.38","15.71M","8.97%"
"05/01/2012","37.12","38.14","38.60","36.49","13.97M","-2.57%"
"04/01/2012","38.10","37.51","38.34","35.70","13.90M","1.57%"
"03/01/2012","37.51","35.74","37.80","35.46","12.98M","4.99%"
"02/01/2012","35.72","35.39","36.45","35.10","12.45M","1.35%"
"01/01/2012","35.25","34.34","35.51","33.22","15.70M","0.83%"
"12/01/2011","34.96","33.65","35.76","33.10","16.87M","3.25%"
"11/01/2011","33.86","32.89","34.03","32.38","18.17M","1.35%"
"10/01/2011","33.41","31.95","34.10","29.78","26.14M","3.63%"
"09/01/2011","32.24","34.56","34.95","32.23","28.80M","-7.04%"
"08/01/2011","34.68","33.79","34.91","27.93","29.99M","6.84%"
"07/01/2011","32.46","33.57","35.03","32.19","11.47M","-3.08%"
"06/01/2011","33.49","35.00","35.24","32.19","17.91M","-4.70%"
"05/01/2011","35.14","35.77","35.96","34.45","12.59M","-1.15%"
"04/01/2011","35.55","35.00","36.35","34.40","13.42M","1.72%"
"03/01/2011","34.95","35.97","36.00","33.81","27.75M","-2.84%"
"02/01/2011","35.97","35.11","36.12","34.44","11.07M","2.89%"
"01/01/2011","34.96","34.41","35.20","33.40","12.40M","2.22%"
"12/01/2010","34.20","34.35","34.77","33.10","26.32M","0.44%"
"11/01/2010","34.05","34.50","35.47","32.91","14.13M","-0.67%"
"10/01/2010","34.28","33.90","35.97","33.60","14.49M","1.66%"
"09/01/2010","33.72","32.90","34.79","32.69","21.30M","3.47%"
"08/01/2010","32.59","32.62","33.23","31.55","12.90M","1.56%"
"07/01/2010","32.09","30.27","33.17","29.12","13.46M","5.80%"
"06/01/2010","30.33","31.01","33.15","29.20","14.70M","-2.60%"
"05/01/2010","31.14","32.44","33.14","28.42","18.54M","-5.03%"
"04/01/2010","32.79","30.90","34.54","30.18","15.29M","6.84%"
"03/01/2010","30.69","28.06","31.19","27.62","17.85M","9.61%"
"02/01/2010","28.00","27.99","28.88","25.28","18.49M","0.25%"
"01/01/2010","27.93","26.26","28.10","25.96","16.37M","7.80%"
"12/01/2009","25.91","25.29","27.53","25.02","19.89M","2.45%"
"11/01/2009","25.29","23.08","25.49","22.55","24.26M","9.10%"
"10/01/2009","23.18","25.57","25.73","22.17","40.96M","-9.63%"
"09/01/2009","25.65","25.30","28.23","23.85","30.43M","0.39%"
"08/01/2009","25.55","23.84","26.65","23.20","30.29M","8.35%"
"07/01/2009","23.58","21.78","23.88","19.83","34.00M","7.57%"
"06/01/2009","21.92","21.84","23.20","21.35","44.20M","2.10%"
"05/01/2009","21.47","22.21","22.89","19.83","46.77M","-3.85%"
"04/01/2009","22.33","18.35","23.24","17.86","71.26M","18.65%"
"03/01/2009","18.82","17.00","18.84","14.25","78.13M","7.36%"
"02/01/2009","17.53","19.15","20.32","16.70","53.89M","-9.03%"
"01/01/2009","19.27","23.26","23.41","18.08","48.16M","-16.76%"
"12/01/2008","23.15","20.00","24.65","16.02","61.61M","14.66%"
"11/01/2008","20.19","23.09","23.74","15.00","44.29M","-12.67%"
"10/01/2008","23.12","26.44","26.50","18.88","43.79M","-9.69%"
"09/01/2008","25.60","26.11","34.86","24.49","31.49M","-0.31%"
"08/01/2008","25.68","25.14","26.14","24.50","17.11M","1.95%"
"07/01/2008","25.19","22.57","26.25","21.38","25.78M","10.68%"
"06/01/2008","22.76","23.89","24.73","22.67","22.90M","-7.10%"
"05/01/2008","24.50","26.35","26.35","23.44","20.44M","-6.88%"
"04/01/2008","26.31","25.75","28.15","24.03","19.93M","2.69%"
"03/01/2008","25.62","23.30","27.16","22.28","36.43M","11.34%"
"02/01/2008","23.01","24.47","25.31","22.26","27.76M","-5.39%"
"01/01/2008","24.32","26.68","26.68","20.27","48.22M","-9.99%"
"12/01/2007","27.02","28.50","29.70","26.31","20.54M","-5.19%"
"11/01/2007","28.50","28.96","30.70","26.51","37.38M","-3.52%"
"10/01/2007","29.54","27.95","30.14","27.05","13.45M","5.69%"
"09/01/2007","27.95","26.94","29.25","25.73","11.04M","3.52%"
"08/01/2007","27.00","23.50","28.79","22.87","26.48M","15.04%"
"07/01/2007","23.47","25.43","26.24","23.14","18.07M","-6.83%"
"06/01/2007","25.19","27.78","27.84","24.53","16.73M","-8.13%"
"05/01/2007","27.42","28.05","28.71","26.12","13.05M","-1.72%"
"04/01/2007","27.90","28.25","29.13","27.43","8.55M","-1.06%"
"03/01/2007","28.20","27.49","28.75","26.00","14.03M","2.51%"
"02/01/2007","27.51","28.81","30.36","27.22","10.65M","-4.41%"
"01/01/2007","28.78","27.66","29.05","26.78","7.75M","3.90%"
"12/01/2006","27.70","27.25","28.45","27.00","9.10M","0.87%"
"11/01/2006","27.46","26.45","27.74","26.00","13.10M","4.02%"
"10/01/2006","26.40","24.70","26.69","24.40","15.61M","6.84%"
"09/01/2006","24.71","24.65","25.10","23.88","11.01M","0.49%"
"08/01/2006","24.59","22.77","24.85","22.54","9.26M","7.47%"
"07/01/2006","22.88","22.05","23.30","21.65","8.29M","4.47%"
"06/01/2006","21.90","21.90","22.89","21.25","10.11M","0.27%"
"05/01/2006","21.84","22.76","23.18","21.39","6.54M","-3.66%"
"04/01/2006","22.67","23.85","24.06","21.86","5.86M","-6.36%"
"03/01/2006","24.21","23.17","24.93","22.77","9.82M","5.03%"
"02/01/2006","23.05","23.25","23.79","22.52","4.11M","-1.03%"
"01/01/2006","23.29","21.86","23.56","21.57","5.22M","7.72%"
"12/01/2005","21.62","22.71","22.92","21.61","5.61M","-4.51%"
"11/01/2005","22.64","22.07","23.29","21.59","6.13M","1.66%"
"10/01/2005","22.27","23.91","23.97","21.08","6.37M","-6.86%"
"09/01/2005","23.91","23.86","24.69","23.20","8.11M","0.34%"
"08/01/2005","23.83","25.00","25.28","22.00","7.61M","-4.64%"
"07/01/2005","24.99","25.03","25.65","23.88","5.33M","-0.20%"
"06/01/2005","25.04","24.80","25.69","24.51","8.80M","1.71%"
"05/01/2005","24.62","24.13","25.37","23.78","5.59M","2.12%"
"04/01/2005","24.11","23.03","24.35","22.48","6.09M","5.38%"
"03/01/2005","22.88","23.51","24.84","22.00","7.09M","-2.72%"
"02/01/2005","23.52","23.34","25.12","23.11","6.02M","0.90%"
"01/01/2005","23.31","25.26","25.61","22.00","7.20M","-7.83%"
"12/01/2004","25.29","25.02","26.07","24.70","5.67M","1.53%"
"11/01/2004","24.91","24.07","25.27","23.71","5.77M","3.79%"
"10/01/2004","24.00","22.48","24.45","22.48","4.83M","6.57%"
"09/01/2004","22.52","22.05","22.70","21.66","5.03M","2.13%"
"08/01/2004","22.05","20.20","22.11","19.95","5.07M","8.84%"
"07/01/2004","20.26","20.86","21.50","19.68","5.84M","-2.88%"
"06/01/2004","20.86","19.95","21.63","19.61","9.11M","4.40%"
"05/01/2004","19.98","19.00","20.10","17.68","6.66M","4.50%"
"04/01/2004","19.12","22.30","22.32","18.12","10.53M","-14.34%"
"03/01/2004","22.32","21.57","22.48","21.54","4.94M","3.09%"
"02/01/2004","21.65","20.74","21.75","20.48","2.95M","4.89%"
"01/01/2004","20.64","20.06","20.69","19.70","3.90M","3.20%"
"12/01/2003","20.00","20.20","20.30","19.76","3.15M","-0.50%"
"11/01/2003","20.10","19.70","20.30","19.62","4.01M","2.03%"
"10/01/2003","19.70","19.80","20.70","19.58","5.66M","-0.61%"
"09/01/2003","19.82","19.80","20.38","19.47","2.95M","0.41%"
"08/01/2003","19.74","19.87","20.01","18.66","3.90M","-0.40%"
"07/01/2003","19.82","19.07","20.40","19.07","4.56M","4.10%"
"06/01/2003","19.04","18.90","19.70","18.57","6.54M","1.17%"
"05/01/2003","18.82","18.90","19.48","17.88","6.10M","0.11%"
"04/01/2003","18.80","17.93","19.38","17.81","3.49M","5.15%"
"03/01/2003","17.88","17.40","18.48","16.86","3.62M","3.17%"
"02/01/2003","17.33","16.88","17.49","16.53","3.02M","2.30%"
"01/01/2003","16.94","17.50","17.87","16.43","4.65M","-3.20%"
"12/01/2002","17.50","17.52","18.07","17.46","2.94M","0.11%"
"11/01/2002","17.48","16.80","17.67","16.59","2.65M","4.48%"
"10/01/2002","16.73","17.12","17.16","15.30","4.01M","-1.99%"
"09/01/2002","17.07","16.90","17.60","16.55","3.11M","1.01%"
"08/01/2002","16.90","16.77","17.12","15.94","3.81M","0.00%"
"07/01/2002","16.90","18.55","18.55","13.45","9.64M","-8.45%"
"06/01/2002","18.46","17.20","18.50","16.75","3.42M","7.64%"
"05/01/2002","17.15","16.95","17.38","16.44","2.88M","1.60%"
"04/01/2002","16.88","16.40","17.37","16.05","3.76M","1.69%"
"03/01/2002","16.60","15.47","16.61","15.43","2.59M","7.44%"
"02/01/2002","15.45","15.50","15.99","15.23","3.24M","-0.13%"
"01/01/2002","15.47","14.75","15.93","14.53","3.44M","5.24%"
"12/01/2001","14.70","14.30","15.08","14.10","3.17M","1.59%"
"11/01/2001","14.47","14.22","14.60","14.10","4.11M","1.19%"
"10/01/2001","14.30","14.50","14.97","13.95","5.41M","-1.38%"
"09/01/2001","14.50","14.43","14.62","13.22","2.12M","1.05%"
"08/01/2001","14.35","14.28","14.93","14.18","2.94M","0.07%"
"07/01/2001","14.34","14.70","14.97","13.95","2.45M","-2.98%"
"06/01/2001","14.78","13.45","14.78","13.30","3.91M","10.30%"
"05/01/2001","13.40","14.38","14.38","13.40","5.53M","-6.29%"
"04/01/2001","14.30","13.20","14.36","13.05","1.71M","7.92%"
"03/01/2001","13.25","12.68","13.25","12.15","1.73M","5.16%"
"02/01/2001","12.60","13.05","13.38","12.38","1.37M","-3.15%"
"01/01/2001","13.01","12.47","13.22","12.16","1.36M","4.58%"
"12/01/2000","12.44","12.06","12.75","11.88","1.40M","3.67%"
"11/01/2000","12.00","11.56","12.25","11.44","1.05M","4.35%"
"10/01/2000","11.50","11.66","11.69","11.25","1.53M","-1.37%"
"09/01/2000","11.66","11.44","11.81","11.06","1.67M","3.09%"
"08/01/2000","11.31","12.12","12.25","11.09","1.60M","-6.68%"
"07/01/2000","12.12","11.75","12.31","11.75","1.19M","2.80%"
"06/01/2000","11.79","11.88","12.31","11.53","1.70M","-0.17%"
"05/01/2000","11.81","10.94","12.12","10.66","1.96M","8.25%"
"04/01/2000","10.91","9.75","10.91","9.69","1.98M","13.41%"
"03/01/2000","9.62","10.34","10.62","9.62","2.31M","-7.59%"
"02/01/2000","10.41","10.62","10.97","10.31","1.66M","-1.98%"
"01/01/2000","10.62","10.44","11.00","10.09","1.92M","3.01%"
"12/01/1999","10.31","10.78","10.94","10.00","2.25M","-5.50%"
"11/01/1999","10.91","11.31","11.81","10.75","1.66M","-3.02%"
