"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2025","520.26","548.05","549.27","505.42","127.17M","-4.77%"
"02/01/2025","546.33","544.99","563.92","535.58","91.41M","-1.27%"
"01/01/2025","553.33","542.02","561.66","529.02","113.53M","2.69%"
"12/01/2024","538.81","554.36","559.96","535.85","158.39M","-2.65%"
"11/01/2024","553.45","525.16","554.70","522.03","99.72M","5.89%"
"10/01/2024","522.67","527.04","538.76","519.58","97.97M","-0.95%"
"09/01/2024","527.67","515.12","529.92","495.80","159.15M","1.86%"
"08/01/2024","518.04","507.84","518.58","468.89","113.65M","2.39%"
"07/01/2024","505.93","501.49","519.40","493.92","95.58M","1.16%"
"06/01/2024","500.13","486.30","505.74","480.40","103.00M","3.20%"
"05/01/2024","484.62","460.77","489.99","459.16","83.38M","5.03%"
"04/01/2024","461.43","481.44","481.96","453.90","132.27M","-4.01%"
"03/01/2024","480.70","467.83","483.23","464.06","106.59M","2.95%"
"02/01/2024","466.93","445.35","468.87","444.65","103.47M","5.21%"
"01/01/2024","443.82","433.91","451.81","428.64","113.24M","1.61%"
"12/01/2023","436.80","418.83","438.84","417.46","100.31M","4.15%"
"11/01/2023","419.40","385.09","421.12","384.62","87.61M","9.17%"
"10/01/2023","384.17","391.90","402.50","375.95","112.74M","-2.17%"
"09/01/2023","392.70","416.46","416.88","389.45","85.39M","-5.11%"
"08/01/2023","413.83","419.26","420.08","397.85","87.51M","-1.63%"
"07/01/2023","420.68","406.92","422.15","401.56","75.25M","3.29%"
"06/01/2023","407.28","384.20","408.76","382.97","87.59M","6.09%"
"05/01/2023","383.89","381.73","388.26","370.92","74.59M","0.48%"
"04/01/2023","382.05","375.60","382.12","370.98","59.26M","1.59%"
"03/01/2023","376.07","363.34","376.34","349.76","98.91M","3.28%"
"02/01/2023","364.11","372.44","384.41","361.73","70.63M","-2.50%"
"01/01/2023","373.44","353.18","375.08","347.19","76.63M","6.29%"
"12/01/2022","351.34","375.87","377.19","344.34","94.17M","-6.18%"
"11/01/2022","374.49","358.53","374.59","338.90","78.86M","5.50%"
"10/01/2022","354.95","331.79","357.98","319.87","99.17M","8.12%"
"09/01/2022","328.30","361.10","378.51","328.12","110.17M","-9.60%"
"08/01/2022","363.15","376.12","396.89","363.11","82.94M","-4.13%"
"07/01/2022","378.79","346.16","379.66","341.05","91.52M","9.20%"
"06/01/2022","346.88","381.61","383.74","334.24","118.46M","-8.64%"
"05/01/2022","379.68","378.79","394.92","349.76","142.83M","0.26%"
"04/01/2022","378.70","416.68","420.82","378.00","109.71M","-8.78%"
"03/01/2022","415.17","400.01","424.72","381.64","137.21M","3.44%"
"02/01/2022","401.36","414.34","421.18","377.50","178.15M","-2.98%"
"01/01/2022","413.69","437.93","441.26","386.84","209.44M","-5.24%"
"12/01/2021","436.57","424.47","440.36","412.77","142.38M","4.18%"
"11/01/2021","419.06","423.19","435.41","418.63","100.25M","-0.73%"
"10/01/2021","422.16","396.23","422.52","391.96","93.89M","7.04%"
"09/01/2021","394.40","416.05","417.44","394.34","103.25M","-4.98%"
"08/01/2021","415.05","404.78","416.56","400.92","81.09M","2.95%"
"07/01/2021","403.15","394.30","406.13","387.93","87.93M","2.45%"
"06/01/2021","393.52","388.50","394.45","382.52","68.95M","1.91%"
"05/01/2021","386.13","385.56","388.68","372.13","91.78M","0.67%"
"04/01/2021","383.57","366.20","386.74","366.03","77.40M","5.29%"
"03/01/2021","364.30","354.55","366.05","341.92","115.91M","4.21%"
"02/01/2021","349.59","343.63","362.37","341.40","65.41M","2.77%"
"01/01/2021","340.18","345.02","354.64","335.37","67.33M","-1.02%"
"12/01/2020","343.69","335.92","344.37","333.77","62.14M","3.32%"
"11/01/2020","332.64","303.37","335.20","300.63","67.83M","10.95%"
"10/01/2020","299.82","310.16","325.22","296.37","62.74M","-2.55%"
"09/01/2020","307.65","321.81","329.67","295.04","74.32M","-4.16%"
"08/01/2020","321.02","301.65","322.83","301.13","61.31M","6.97%"
"07/01/2020","300.10","284.37","300.62","283.95","73.80M","5.88%"
"06/01/2020","283.43","279.07","297.32","272.77","98.72M","1.32%"
"05/01/2020","279.75","262.14","282.04","253.97","92.58M","4.74%"
"04/01/2020","267.10","227.92","271.00","224.13","149.17M","12.79%"
"03/01/2020","236.82","274.00","288.32","200.55","281.80M","-12.85%"
"02/01/2020","271.74","297.12","311.59","262.25","99.89M","-8.10%"
"01/01/2020","295.69","297.29","305.92","294.35","66.99M","-0.04%"
"12/01/2019","295.80","289.03","297.51","282.10","56.54M","2.48%"
"11/01/2019","288.65","280.05","289.78","279.91","43.87M","3.63%"
"10/01/2019","278.55","273.44","279.69","261.59","53.05M","2.18%"
"09/01/2019","272.60","266.83","277.98","265.68","45.94M","1.49%"
